line,class
"8/15,000 MT BULK MINERALS","Quantity Description"
"1 SB MERSIN / 1 SP CHINA (INT. XINGANG)",Ports
"5,000 MT SHEXEIU / 6,000 MT SHINC","Ld rate"
"3.75 PCT + 1,25 PCT WONSILD",Commision
"1 X  ABT  9,500 MT BULK MINERALS","Quantity Description"
"1 X  ABT 10,000 MT BULK MINERALS ","Quantity Description"
"DURRES / 1SP CHINA (INT. XINGANG)",Ports
"5,000 MT SHEXEIU / 6,000 MT SHINC","Ld rate"
"3.75 PCT + 1,25 PCT WONSILD",Commision
"WONSILD DRY APS, COPENHAGEN ",Ports
"1 OR 2 LOTS OF 10,000 MT BULK MINERALS","Quantity Description"
"1 SB MERSIN / 1-2 SP(S) CHINA",Ports
"5,000 MT SHEXEIU / 6,000 MT SHINC","Ld rate"
"3.75 + 1,25 WONSILD",Commision
"1 X  ABT  9,500 MT BULK MINERALS","Quantity Description"
"1 X  ABT 10,000 MT BULK MINERALS ","Quantity Description"
"DURRES / 1SP CHINA (INT. XINGANG)",Ports
"5,000 MT SHEXEIU / 6,000 MT SHINC","Ld rate"
"3.75 + 1,25 WONSILD",Commision
"WONSILD DRY APS, COPENHAGEN ",Ports
"1 X  ABT  9,500 MT BULK MINERALS","Quantity Description"
"1 X  ABT 10,000 MT BULK MINERALS ","Quantity Description"
"DURRES / 1SP CHINA (INT. XINGANG)",Ports
"5,000 MT SHEXEIU / 6,000 MT SHINC","Ld rate"
"3.75 PCT + 1,25 PCT WONSILD ",Commision
"GOOD CHANCE TO COMPLETE WITH ANOTHER 15/20,000 MT MINERALS EX. TURKISH ",Description
"10,000 MT BULK MINERALS","Quantity Description"
"1 SB MERSIN / 1 SP CHINA (INT. XINGANG)",Ports
"5,000 MT SHEXEIU / 6,000 MT SHINC","Ld rate"
"3.75 PCT + 1,25 PCT WONSILD",Commision
"1 X  ABT  9,500 MT BULK MINERALS","Quantity Description"
"1 X  ABT 10,000 MT BULK MINERALS ","Quantity Description"
"DURRES / 1SP CHINA (INT. XINGANG)",Ports
"5,000 MT SHEXEIU / 6,000 MT SHINC","Ld rate"
"3.75 PCT + 1,25 PCT WONSILD",Commision
"10,000 MT BULK MINERALS","Quantity Description"
"1 SB MERSIN / 1 SP CHINA (INT. XINGANG)",Ports
"5,000 MT SHEXEIU / 6,000 MT SHINC","Ld rate"
"3.75 PCT + 1,25 PCT WONSILD",Commision
"1 X  ABT  9,500 MT BULK MINERALS","Quantity Description"
"1 X  ABT 10,000 MT BULK MINERALS ","Quantity Description"
"DURRES / 1SP CHINA (INT. XINGANG)",Ports
"5,000 MT SHEXEIU / 6,000 MT SHINC","Ld rate"
"3.75 PCT + 1,25 PCT WONSILD",Commision
"Alexandria, Egypt -&gt; Montevideo, Uruguay - 50000 mts bagged UREA 50kg bags","Ports Quantity"
"4000 mts pwwd shexc bends - 12 hrs TT bends","Ld rate"
"20-30 April date","Laycan date"
"5.0% iac",Commision
"Zarzis -&gt; Lattakia or Tartous - 1,700.mt 2% mol chopt harmless sodium sulph in bbgs stw abt 48'","Ports Quantity"
"29 March / 3 April","Laycan date"
"Gnc 3.75% iac",Commision
"Chornomorsk -&gt; Odessa road OPL - 1450/3000 mts barley, sf 52 wog","Ports Quantity"
"l/c 25-26.03.17","Laycan date"
"ttl 2 days SHINC","Ld rate"
"2.5% ttl comm here",Commision
"Kherson -&gt; Tbs Mar Izm3000/10 wbp 54 wog","Ports Quantity"
1000/1000,"Ld rate"
"29.03 onw","Laycan date"
"3.75% iac",Commision
"Rostov AB -&gt; Iskenderun - 5000 mt +/-5% of Anthracite coal SF 44","Ports Quantity"
2000x/2000x,"Ld rate"
29-31.03.2017,"Laycan date"
"2.5% ttl comm here",Commision
"Rostov AB -&gt; Hereke - 5000 mt of Anthracite coal SF 44","Ports Quantity"
2000x/2000x,"Ld rate"
11-14.04.2017,"Laycan date"
"2.5% ttl comm here",Commision
"MASAN, KOREA -&gt; 1 PORT EGYPT, PREF. PORT SAID/ALEXANDRIA/DAMIETTA - ABT 867T/1703CBM/282PCS, LOOSE PIPES","Ports Quantity"
"LAYCAN : 31 MARCH/06 APRIL 2017","Laycan date"
"TTL COMM 3.75% IAC",Commision
"1 Marmara Sea -&gt; Houston - abt 1800m3 / 208mts Project cargo","Ports Quantity"
"5/15 April","Laycan date"
"3.75% iac",Commision
" 5 pieces BB - ship loose           6.48 L 2.21 W 3.15 H  45.83       229.15       12470.00    62350.00  229.15 cbm",Description
"10  pieces      flat rack -           19.9 L  2.44 W 3.15 H 152.95      152.95       18634.00   18634.00  1520.95 cbm",Description
"ACCT IMERYS - 3.75% IAC",Commision
"2 MILOS -&gt; 1 LE TREPORT FRANCE - 2000 MTS BULK PERLITE / 2 GRADES","Ports Quantity"
"GRADE A 1500 MTS EX ADAMAS",Description
"GRADE B 500 MTS EX VOUDIA",Description
"5 / 9 APRIL","Laycan date"
"L 1350 MTS/WWD SSHEX","Ld rate"
"D 1350 MTS/WWD SSHEX","Ld rate"
"Required Box-shaped vessel   max 25 yeras old - ideal abt 180,000 cft bale cpty",Description
"Aveiro, North Terminal -&gt;  Sousse - about  2,650.mt equal abt 3400cbm Chipboards in pallets","Ports Quantity"
"4/6 Apri","Laycan date"
"5 wwd l/d","Ld rate"
"2.5% ttl comm here",Commision
"Nikolaev 10.3 -&gt; Beirut, Lebanon - 3,765 tons STEELS","Ports Quantity"
2000x/1500x,"Ld rate"
"2.5% ttl comm here",Commision
"44/4570 mts profiles",Quantity
"Barcelona /  Port Said ",Ports
"29/30  March","Laycan date"
"3000 sshex /800 fshex ","Ld rate"
"Vilanova (close to Barcelona) -&gt; Sousse - 2975/3110 mts profiles  ","Ports Quantity"
"30/31 March","Laycan date"
"2000 sshex /1000 sshex","Ld rate"
"Gnc 3.75% IAC ",Commision
"MARINA DI CARRARA -&gt; GABES - 6500 10% MOLOO TONS MARBLE CHIPS IN BULK","Ports Quantity"
"10/13th APRIL - 6 TTL WWDAYS - GCN - FIOS - 2.5% TTL COMM HERE","Laycan date"
"Load rate: 12 days SSHEX EIU","Ld rate"
"Dis rate: 12 days FHEX (incl Sat) EIU","Ld rate"
"Laycan:  Propmt (5 days notices)","Laycan date"
"2.5% TTL COMM HERE",Commision
"Acct UKT Riga - 5.0% iac",Commision
"1 sb nikolayev -&gt; 1 sb sibenik - 7,682/7,752 mts in chopt of blk mop stw abt 1m3/mt wog ","Ports Quantity"
"laycan: 04 - 06/apr 2017  ","Laycan date"
"load rate: 3000 mt pwwd sshinc  ","Ld rate"
"disch rate: 2500 mt sshex eiu  ","Ld rate"
